name,url
Antrodemus,https://en.wikipedia.org/wiki/Antrodemus
Anzu wyliei,https://en.wikipedia.org/wiki/Anzu_wyliei
Aoniraptor,https://en.wikipedia.org/wiki/Aoniraptor
Aorun,https://en.wikipedia.org/wiki/Aorun
Apatodon,https://en.wikipedia.org/wiki/Apatodon
Apatoraptor,https://en.wikipedia.org/wiki/Apatoraptor
Apatosaurus,https://en.wikipedia.org/wiki/Apatosaurus
Appalachiosaurus,https://en.wikipedia.org/wiki/Appalachiosaurus
Aquilarhinus,https://en.wikipedia.org/wiki/Aquilarhinus
Aquilops,https://en.wikipedia.org/wiki/Aquilops
Arackar,https://en.wikipedia.org/wiki/Arackar
Aragosaurus,https://en.wikipedia.org/wiki/Aragosaurus
Aralosaurus,https://en.wikipedia.org/wiki/Aralosaurus
Aratasaurus,https://en.wikipedia.org/wiki/Aratasaurus
Archaeoceratops,https://en.wikipedia.org/wiki/Archaeoceratops
Archaeodontosaurus,https://en.wikipedia.org/wiki/Archaeodontosaurus
Archaeopteryx,https://en.wikipedia.org/wiki/Archaeopteryx
Archaeoraptor,https://en.wikipedia.org/wiki/Archaeoraptor
Archaeornithoides,https://en.wikipedia.org/wiki/Archaeornithoides
Archaeornithomimus,https://en.wikipedia.org/wiki/Archaeornithomimus
Archosaur,https://en.wikipedia.org/wiki/Archosaur
Arcovenator,https://en.wikipedia.org/wiki/Arcovenator
Arctosaurus,https://en.wikipedia.org/wiki/Arctosaurus
Arcusaurus,https://en.wikipedia.org/wiki/Arcusaurus
Arenysaurus,https://en.wikipedia.org/wiki/Arenysaurus
Argentinosaurus,https://en.wikipedia.org/wiki/Argentinosaurus
Argyrosaurus,https://en.wikipedia.org/wiki/Argyrosaurus
Aristosuchus,https://en.wikipedia.org/wiki/Aristosuchus
Arizonasaurus,https://en.wikipedia.org/wiki/Arizonasaurus
Arkansaurus,https://en.wikipedia.org/wiki/Arkansaurus
Arkharavia,https://en.wikipedia.org/wiki/Arkharavia
